2015-12-03 02:12:26: 172.31.217.135: config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 02:12:26: 172.31.217.135: config t ; interface Ethernet1/3 ; description Configured by NX-API
2015-12-03 02:12:27: 172.31.217.135: config t ; interface Ethernet1/4 ; switchport access vlan 31
2015-12-03 02:12:27: 172.31.217.135: config t ; interface Ethernet1/4 ; description Configured by NX-API
2015-12-03 03:16:49: N9K3: config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 03:16:49: N9K3: config t ; interface Ethernet1/3 ; description Configured by NX-API
2015-12-03 03:16:50: N9K3: config t ; interface Ethernet1/4 ; switchport access vlan 31
2015-12-03 03:16:50: N9K3: config t ; interface Ethernet1/4 ; description Configured by NX-API
2015-12-03 03:20:04: N9K3: config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 03:20:04: N9K3(admin): config t ; interface Ethernet1/3 ; description Configured by NX-API
2015-12-03 03:20:04: N9K3: config t ; interface Ethernet1/4 ; switchport access vlan 31
2015-12-03 03:20:04: N9K3(admin): config t ; interface Ethernet1/4 ; description Configured by NX-API
2015-12-03 03:20:36: N9K3(admin): config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 03:20:36: N9K3(admin): config t ; interface Ethernet1/3 ; description Configured by NX-API
2015-12-03 03:20:36: N9K3(admin): config t ; interface Ethernet1/4 ; switchport access vlan 31
2015-12-03 03:20:36: N9K3(admin): config t ; interface Ethernet1/4 ; description Configured by NX-API
2015-12-03 04:47:59: N9K3(admin): config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 04:47:59: N9K3(admin): config t ; interface Ethernet1/3 ; description Test description
2015-12-03 04:48:00: N9K3(admin): config t ; interface Ethernet1/4 ; switchport access vlan 31
2015-12-03 04:48:00: N9K3(admin): config t ; interface Ethernet1/4 ; description Test description
2015-12-03 04:49:52: N9K4(admin): config t ; interface Ethernet1/3 ; switchport access vlan 32
2015-12-03 04:49:52: N9K4(admin): config t ; interface Ethernet1/3 ; description Test 2
2015-12-03 04:50:36: N9K2(admin): config t ; interface  Ethernet1/4 ; switchport access vlan 31
2015-12-03 04:50:36: N9K2(admin): config t ; interface  Ethernet1/4 ; description test
2015-12-03 04:50:37: N9K2(admin): config t ; interface Ethernet1/5 ; switchport access vlan 31
2015-12-03 04:50:37: N9K2(admin): config t ; interface Ethernet1/5 ; description test
2015-12-03 04:56:07: N9K3(admin): config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 04:56:07: N9K3(admin): config t ; interface Ethernet1/3 ; description Test
2015-12-03 04:57:56: N9K4(admin): config t ; interface Ethernet1/3 ; switchport access vlan 31
2015-12-03 04:57:56: N9K4(admin): config t ; interface Ethernet1/3 ; description Test
2015-12-03 05:00:19: N9K1(admin): config t ; interface Ethernet1/4 ; switchport access vlan 43
2015-12-03 05:00:19: N9K1(admin): config t ; interface Ethernet1/4 ; description Test 43
